Organisation / School,URN,Postcode,Attendee Name,Attendee Email Address,Job Role,Attending Days,Newsletter
Sao Tome and Stefanie Gevaert,3258,PH,,stefanie,teacher,5,y
Sao Tome and Principe,3258,PH,LaRue,3258@educationendowmentfoundation.org.uk,teacher,5,y
Malaysia,2511,TL,Atonsah,2511@educationendowmentfoundation.org.uk,leader,8,n
Saint Kitts and Nevis,2538,MD,Decato,2538@educationendowmentfoundation.org.uk,na,6,n
Western Sahara,4225,MG,Irmine,4225@educationendowmentfoundation.org.uk,leader,4,y
"Lao People""S Democratic Republic",3286,EG,Wenoa,3286@educationendowmentfoundation.org.uk,teacher,6,y
Haiti,5935,SB,Plato,5935@educationendowmentfoundation.org.uk,leader,2,y
Montserrat,3651,GH,Madaih,3651@educationendowmentfoundation.org.uk,support,4,n
Malaysia,4471,VG,Noam,4471@educationendowmentfoundation.org.uk,na,8,n
Angola,5780,HK,Papageno,5780@educationendowmentfoundation.org.uk,support,9,y
Sweden,2165,MR,Morehouse,2165@educationendowmentfoundation.org.uk,na,5,n
Sri Lanka,4104,CK,Maples,4104@educationendowmentfoundation.org.uk,support,5,n
"Virgin Islands, British",5418,VA,Ader,5418@educationendowmentfoundation.org.uk,na,10,y
Cape Verde,5165,QA,Raul,5165@educationendowmentfoundation.org.uk,na,1,y
Comoros,5091,MS,Rad,5091@educationendowmentfoundation.org.uk,leader,7,n
Angola,5935,UM,Ariella,5935@educationendowmentfoundation.org.uk,na,4,n
Senegal,4461,KW,Mandler,4461@educationendowmentfoundation.org.uk,leader,8,y
Norfolk Island,3522,GN,Mayeda,3522@educationendowmentfoundation.org.uk,teacher,10,n
Svalbard and Jan Mayen,4997,SI,Jary,4997@educationendowmentfoundation.org.uk,leader,6,n
Sudan,4698,SY,Masao,4698@educationendowmentfoundation.org.uk,support,2,n
Netherlands,3940,PS,Sherrie,3940@educationendowmentfoundation.org.uk,support,3,y
Algeria,5529,UY,Franza,5529@educationendowmentfoundation.org.uk,leader,2,y
"Lao People""S Democratic Republic",5263,CU,Mott,5263@educationendowmentfoundation.org.uk,teacher,2,n
Slovakia,4899,ET,Hurley,4899@educationendowmentfoundation.org.uk,leader-middle,10,n
Eritrea,5429,BD,Konyn,5429@educationendowmentfoundation.org.uk,teacher,6,n
Western Sahara,5467,FJ,Bluh,5467@educationendowmentfoundation.org.uk,leader,2,y
Tokelau,3325,MX,Knowling,3325@educationendowmentfoundation.org.uk,leader,5,y
Chile,5025,BS,Jorgan,5025@educationendowmentfoundation.org.uk,leader,7,y
Argentina,2049,MT,Shaddock,2049@educationendowmentfoundation.org.uk,leader,1,n
Equatorial Guinea,2671,CN,Ferrell,2671@educationendowmentfoundation.org.uk,support,8,y
"Virgin Islands, British",2449,AR,Vary,2449@educationendowmentfoundation.org.uk,leader,7,n
Bahamas,3182,MY,Modie,3182@educationendowmentfoundation.org.uk,leader-middle,8,y
Australia,2197,NO,Natalia,2197@educationendowmentfoundation.org.uk,leader,3,y
Cocos (Keeling) Islands,3855,US,Loeb,3855@educationendowmentfoundation.org.uk,support,10,n
"Macedonia, The Former Yugoslav Republic of",4581,LI,Raimondo,4581@educationendowmentfoundation.org.uk,leader,9,n
Georgia,2477,VC,Weitman,2477@educationendowmentfoundation.org.uk,leader,2,y
Norway,3392,CX,Laurianne,3392@educationendowmentfoundation.org.uk,leader-middle,8,n
Nicaragua,2209,CA,Fabiola,2209@educationendowmentfoundation.org.uk,leader-middle,9,n
Suriname,3301,LV,Tannie,3301@educationendowmentfoundation.org.uk,teacher,4,y
Finland,4104,GH,Billye,4104@educationendowmentfoundation.org.uk,leader,8,n
French Polynesia,4151,GR,Belanger,4151@educationendowmentfoundation.org.uk,support,6,y
Brazil,3304,MK,McNully,3304@educationendowmentfoundation.org.uk,leader-middle,5,y
Guinea-Bissau,4893,DM,Adrienne,4893@educationendowmentfoundation.org.uk,teacher,8,n
Gibraltar,4358,BE,Dimitris,4358@educationendowmentfoundation.org.uk,leader-middle,2,n
"Palestinian Territory, Occupied",2892,KN,Breed,2892@educationendowmentfoundation.org.uk,support,8,y
Liechtenstein,2127,IL,Lucienne,2127@educationendowmentfoundation.org.uk,na,5,n
Sweden,2540,ET,Boycey,2540@educationendowmentfoundation.org.uk,leader,9,y
Guinea,2176,MA,Clara,2176@educationendowmentfoundation.org.uk,leader,8,y
Burundi,3807,GN,Fosque,3807@educationendowmentfoundation.org.uk,teacher,7,n
Singapore,5138,CY,Frodi,5138@educationendowmentfoundation.org.uk,na,3,y
Japan,3431,AI,Ovid,3431@educationendowmentfoundation.org.uk,leader,7,y
Reunion,3672,UM,Wadell,3672@educationendowmentfoundation.org.uk,teacher,5,n
Macao,5944,HN,Fillbert,5944@educationendowmentfoundation.org.uk,support,3,n
Jersey,5355,CV,Wiener,5355@educationendowmentfoundation.org.uk,teacher,2,n
Bulgaria,3265,UM,Ackerley,3265@educationendowmentfoundation.org.uk,leader-middle,10,y
New Caledonia,5491,MU,Iaverne,5491@educationendowmentfoundation.org.uk,teacher,9,n
Estonia,5145,CA,Thad,5145@educationendowmentfoundation.org.uk,leader,2,y
Palau,3317,CO,Boehike,3317@educationendowmentfoundation.org.uk,leader,8,n
Niger,4148,TK,Lattie,4148@educationendowmentfoundation.org.uk,leader-middle,2,n
Madagascar,5342,FK,Buffum,5342@educationendowmentfoundation.org.uk,teacher,6,n
Bahamas,2671,MD,Holtz,2671@educationendowmentfoundation.org.uk,leader-middle,3,y
Australia,2994,CY,Chandler,2994@educationendowmentfoundation.org.uk,leader-middle,9,n
United Arab Emirates,3027,KP,Teryn,3027@educationendowmentfoundation.org.uk,leader,10,y
Uganda,5252,TT,Donell,5252@educationendowmentfoundation.org.uk,leader-middle,5,n
Grenada,5834,NI,Buckler,5834@educationendowmentfoundation.org.uk,leader-middle,4,y
Kuwait,5571,CD,Wolfgram,5571@educationendowmentfoundation.org.uk,teacher,3,n
Myanmar,4441,VN,Colleen,4441@educationendowmentfoundation.org.uk,leader-middle,10,y
Venezuela,5406,PR,Ietta,5406@educationendowmentfoundation.org.uk,teacher,8,y
Togo,2197,NG,Auberbach,2197@educationendowmentfoundation.org.uk,leader,9,y
Albania,5880,CF,Catie,5880@educationendowmentfoundation.org.uk,leader,6,y
Kyrgyzstan,2571,VN,Mott,2571@educationendowmentfoundation.org.uk,leader-middle,3,n
Albania,5740,SK,Klotz,5740@educationendowmentfoundation.org.uk,na,8,y
Costa Rica,2941,IQ,Fleeta,2941@educationendowmentfoundation.org.uk,leader,3,n
Austria,3420,CC,Vilma,3420@educationendowmentfoundation.org.uk,teacher,4,y
Saint Vincent and the Grenadines,2232,NL,Hanshaw,2232@educationendowmentfoundation.org.uk,teacher,2,n
Honduras,4624,GW,Teryn,4624@educationendowmentfoundation.org.uk,leader-middle,1,n
French Southern Territories,4359,BA,Estella,4359@educationendowmentfoundation.org.uk,support,9,y
China,5289,TF,Rona,5289@educationendowmentfoundation.org.uk,support,5,n
Central African Republic,2123,TZ,Stephie,2123@educationendowmentfoundation.org.uk,leader-middle,2,n
Latvia,2030,AO,Ursulette,2030@educationendowmentfoundation.org.uk,na,9,n
Congo,5951,UM,Emanuel,5951@educationendowmentfoundation.org.uk,leader,2,n
Sao Tome and Principe,3795,IO,Burkle,3795@educationendowmentfoundation.org.uk,na,5,y
Venezuela,3690,KN,Duwalt,3690@educationendowmentfoundation.org.uk,support,6,y
Samoa,2359,FR,Therine,2359@educationendowmentfoundation.org.uk,support,1,n
Cayman Islands,2748,CU,Latini,2748@educationendowmentfoundation.org.uk,leader-middle,1,y
Wallis and Futuna,2710,CH,Cohdwell,2710@educationendowmentfoundation.org.uk,na,10,n
"Macedonia, The Former Yugoslav Republic of",3367,IS,Kevon,3367@educationendowmentfoundation.org.uk,na,10,n
Saint Vincent and the Grenadines,2838,KN,Valerio,2838@educationendowmentfoundation.org.uk,teacher,7,n
Guinea,4018,DJ,Maryanne,4018@educationendowmentfoundation.org.uk,teacher,3,n
French Southern Territories,5652,VE,Beniamino,5652@educationendowmentfoundation.org.uk,leader,9,y
Armenia,3729,PK,Artie,3729@educationendowmentfoundation.org.uk,na,3,n
Namibia,5980,US,Kare,5980@educationendowmentfoundation.org.uk,support,7,y
Jamaica,2567,SA,Glenden,2567@educationendowmentfoundation.org.uk,leader,6,y
Haiti,2541,EG,Ramona,2541@educationendowmentfoundation.org.uk,teacher,1,y
"Iran, Islamic Republic Of",2222,JE,Sadowski,2222@educationendowmentfoundation.org.uk,leader-middle,10,y
South Georgia and the South Sandwich Islands,5744,TC,Fredi,5744@educationendowmentfoundation.org.uk,na,4,y
Malta,4740,FJ,Idelia,4740@educationendowmentfoundation.org.uk,na,2,y
Ghana,2771,ZM,Brenn,2771@educationendowmentfoundation.org.uk,teacher,1,y
Puerto Rico,3922,AS,Bahr,3922@educationendowmentfoundation.org.uk,leader,7,y
Netherlands,3163,UM,Gombach,3163@educationendowmentfoundation.org.uk,teacher,6,y
Sierra Leone,4639,AS,Wesle,4639@educationendowmentfoundation.org.uk,leader,8,n
